Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreateObjectContract()";8.3047;8.3047;8.3047;25904;25904;25904;32;35;8.30469989776611;8.3047;8.3047;8.3047;2;2;2;2;1;25904;1.0212;7.2835;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.GetContractSafe()";7.770401;7.770401;7.770401;25904;25904;25904;24;30;7.7704005241394;7.770401;7.770401;7.770401;24;24;24;24;1;25904;0.0019;7.6679;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.GetContract()";7.7654;7.7654;7.7654;25904;25904;25904;25;31;7.76539993286133;7.7654;7.7654;7.7654;24;24;24;24;1;25904;0.0017;7.6675;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreateProperties()";7.3893;7.3893;7.3893;25904;25904;25904;33;36;7.38930034637451;7.3893;7.3893;7.3893;2;2;2;2;1;25904;0.6947;6.6946;25904;25904;0
"Assembly-CSharp.dll!::EnemySpawner.SpawnSplitChildren()";7.2813;7.2813;7.2813;24220;24220;24220;11;11;7.28130006790161;7.2813;7.2813;7.2813;1;1;1;1;1;24220;7.2813;7.2813;24220;24220;0
"Assembly-CSharp.dll!::WaveRunRewards.RecordMetaProgress()";7.1955;7.1955;7.1955;25904;25904;25904;16;16;7.19549989700317;7.1955;7.1955;7.1955;1;1;1;1;1;25904;7.1955;7.1955;25904;25904;0
"UnityEngine.AssetBundleModule.dll!UnityEngine::AssetBundle.UnloadAsync()";7.1081;7.1081;7.1081;26017;26017;26017;26;26;7.10809993743896;7.1081;7.1081;7.1081;3;3;3;3;1;26017;0.0039;7.094;26017;26017;0
"UnityEngine.AssetBundleModule.dll!UnityEngine::AssetBundle.UnloadAsync_Injected()";6.6245;6.6245;6.6245;26017;26017;26017;27;27;6.62449979782104;6.6245;6.6245;6.6245;3;3;3;3;1;26017;0.0024;6.6168;26017;26017;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreateProperty()";5.6781;5.6781;5.6781;25904;25904;25904;34;37;5.67810010910034;5.6781;5.6781;5.6781;20;20;20;20;1;25904;0.1856;1.078;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.CalculatePropertyValues()";5.376998;5.376998;5.376998;25904;25904;25904;27;32;5.37699842453003;5.376998;5.376998;5.376998;54;54;54;54;1;25904;0.005;3.2154;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Utilities::ReflectionUtils.GetAttribute()";5.324301;5.324301;5.324301;25904;25904;25904;37;46;5.32430076599121;5.324301;5.324301;5.324301;236;236;236;236;1;25904;0.0112;0.8448;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.SetPropertySettingsFromAttributes()";4.9958;4.9958;4.9958;25904;25904;25904;35;38;4.99580049514771;4.9958;4.9958;4.9958;20;20;20;20;1;25904;0.1595;1.019;25904;25904;0
"mscorlib.dll!System::MonoCustomAttrs.GetCustomAttributes()";4.843;4.843;4.843;25904;25904;25904;37;51;4.84299993515015;4.843;4.843;4.843;258;258;258;258;1;25904;0.0084;0.8411;25904;25904;0
"GarbageCollectAssetsProfile";4.5393;4.5393;4.5393;26017;26017;26017;7;7;4.53929996490479;4.5393;4.5393;4.5393;1;1;1;1;1;26017;4.5393;4.5393;26017;26017;0
"Mono.JIT";4.361;0.8673;6.314999;25904;26016;26017;8;44;11.5432986617088;3.847766;0.8673;4.361;110;45;2;63;3;25904;0.0164;0.8372;26017;26016;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.InitializeContract()";3.8908;3.8908;3.8908;25904;25904;25904;33;36;3.89079999923706;3.8908;3.8908;3.8908;4;4;4;4;1;25904;0.1921;2.0465;25904;25904;0
