Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Assembly-CSharp.dll!::MetaProgressService.RecordScore()";7.1461;7.1461;7.1461;61925;61925;61925;19;19;7.14610004425049;7.1461;7.1461;7.1461;1;1;1;1;1;61925;7.1461;7.1461;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.GetContractSafe()";6.8095;6.8095;6.8095;61925;61925;61925;26;32;6.80950021743774;6.8095;6.8095;6.8095;31;31;31;31;1;61925;0.002;6.7034;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.GetContract()";6.8038;6.8038;6.8038;61925;61925;61925;27;33;6.80380010604858;6.8038;6.8038;6.8038;31;31;31;31;1;61925;0.0018;6.7027;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreateProperties()";6.7668;6.7668;6.7668;61925;61925;61925;35;38;6.76679992675781;6.7668;6.7668;6.7668;2;2;2;2;1;61925;1.0133;5.7535;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.CalculatePropertyValues()";6.2545;6.2545;6.2545;61925;61925;61925;29;34;6.25450038909912;6.2545;6.2545;6.2545;64;64;64;64;1;61925;0.0049;3.8991;61925;61925;0
"GC.DeleteUnusedAssets";5.2007;5.2007;5.2007;62046;62046;62046;8;8;5.20069980621338;5.2007;5.2007;5.2007;1;1;1;1;1;62046;5.2007;5.2007;62046;62046;0
"BatchDeleteObjects";5.1026;5.1026;5.1026;62046;62046;62046;9;9;5.10260009765625;5.1026;5.1026;5.1026;1;1;1;1;1;62046;5.1026;5.1026;62046;62046;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.InitializeContract()";4.9642;4.9642;4.9642;61925;61925;61925;35;38;4.96420001983643;4.9642;4.9642;4.9642;4;4;4;4;1;61925;0.2256;2.8705;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreateProperty()";4.2229;4.2229;4.2229;61925;61925;61925;36;39;4.22289991378784;4.2229;4.2229;4.2229;20;20;20;20;1;61925;0.1863;0.3367;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Utilities::ReflectionUtils.GetAttribute()";4.0942;4.0942;4.0942;61925;61925;61925;39;48;4.09420013427734;4.0942;4.0942;4.0942;236;236;236;236;1;61925;0.0113;0.0639;61925;61925;0
"mscorlib.dll!System::MonoCustomAttrs.GetCustomAttributes()";3.739301;3.739301;3.739301;61925;61925;61925;39;53;3.73930072784424;3.739301;3.739301;3.739301;258;258;258;258;1;61925;0.0083;0.2503;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.SetPropertySettingsFromAttributes()";3.6451;3.6451;3.6451;61925;61925;61925;37;40;3.64510011672974;3.6451;3.6451;3.6451;20;20;20;20;1;61925;0.16;0.3074;61925;61925;0
"mscorlib.dll!System.IO::FileSystem.DirectoryExists()";3.5659;3.5659;3.5659;61925;61925;61925;21;30;3.56589984893799;3.5659;3.5659;3.5659;36;36;36;36;1;61925;0.0546;0.1708;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.SerializeList()";3.3845;3.3845;3.3845;61925;61925;61925;27;31;3.3844997882843;3.3845;3.3845;3.3845;15;15;15;15;1;61925;0.0078;2.6408;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::CachedAttributeGetter`1.GetAttribute()";3.2309;3.2309;3.2309;61925;61925;61925;35;43;3.23090004920959;3.2309;3.2309;3.2309;101;101;101;101;1;61925;0.0014;0.6266;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreateArrayContract()";3.1649;3.1649;3.1649;61925;61925;61925;35;35;3.16490006446838;3.1649;3.1649;3.1649;1;1;1;1;1;61925;3.1649;3.1649;61925;61925;0
"mscorlib.dll!System.IO::Directory.Exists()";3.1612;3.1612;3.1612;61925;61925;61925;20;28;3.16119980812073;3.1612;3.1612;3.1612;18;18;18;18;1;61925;0.1092;0.2782;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.ResolveCallbackMethods()";2.8016;2.8016;2.8016;61925;61925;61925;36;39;2.80159997940063;2.8016;2.8016;2.8016;4;4;4;4;1;61925;0.018;2.1689;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.GetCallbackMethodsForType()";2.8003;2.8003;2.8003;61925;61925;61925;37;40;2.80030012130737;2.8003;2.8003;2.8003;4;4;4;4;1;61925;0.0178;2.1685;61925;61925;0
"mscorlib.dll!System::String.IndexOfAny()";2.7044;2.7044;2.7044;61925;61925;61925;21;35;2.70439982414246;2.7044;2.7044;2.7044;182;182;182;182;1;61925;0.0097;0.0312;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonTypeReflector.GetCachedAttribute()";2.5859;2.5859;2.5859;61925;61925;61925;34;42;2.58590030670166;2.5859;2.5859;2.5859;40;40;40;40;1;61925;0.0016;0.6274;61925;61925;0
"mscorlib.dll!System.IO::Path.InsecureGetFullPath()";2.3196;2.3196;2.3196;61925;61925;61925;22;30;2.31960010528564;2.3196;2.3196;2.3196;30;30;30;30;1;61925;0.0536;0.1356;61925;61925;0
"mscorlib.dll!System::RuntimeType.GetCustomAttributes()";2.1428;2.1428;2.1428;61925;61925;61925;38;50;2.14280009269714;2.1428;2.1428;2.1428;98;98;98;98;1;61925;0.0086;0.2507;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.WriteStartArray()";2.03;2.03;2.03;61925;61925;61925;28;32;2.02999997138977;2.03;2.03;2.03;15;15;15;15;1;61925;0.0019;1.9931;61925;61925;0
"mscorlib.dll!System::Attribute.GetCustomAttributes()";1.841;1.841;1.841;61925;61925;61925;42;51;1.84100043773651;1.841;1.841;1.841;160;160;160;160;1;61925;0.0099;0.0191;61925;61925;0
"GC.MarkDependencies";1.8352;1.8352;1.8352;62046;62046;62046;8;8;1.83519995212555;1.8352;1.8352;1.8352;1;1;1;1;1;62046;1.8352;1.8352;62046;62046;0
"mscorlib.dll!System.IO::Path.GetFullPath()";1.7798;1.7798;1.7798;61925;61925;61925;21;29;1.7797999382019;1.7798;1.7798;1.7798;24;24;24;24;1;61925;0.0537;0.1231;61925;61925;0
"mscorlib.dll!System.IO::FileSystem.FillAttributeInfo()";1.7713;1.7713;1.7713;61925;61925;61925;23;31;1.77129995822906;1.7713;1.7713;1.7713;18;18;18;18;1;61925;0.0544;0.1697;61925;61925;0
"mscorlib.dll!System.IO::FileSystem.UnityGetFileAttributesEx()";1.7217;1.7217;1.7217;61925;61925;61925;24;32;1.72170007228851;1.7217;1.7217;1.7217;18;18;18;18;1;61925;0.0527;0.1661;61925;61925;0
"mscorlib.dll!System.IO::Path.CanonicalizePath()";1.7122;1.7122;1.7122;61925;61925;61925;23;31;1.71219980716705;1.7122;1.7122;1.7122;30;30;30;30;1;61925;0.0406;0.0941;61925;61925;0
"Assembly-CSharp.dll!::WaveRunRewards.OnWaveCleared()";1.6845;1.6845;1.6845;61925;61925;61925;17;17;1.68449997901917;1.6845;1.6845;1.6845;1;1;1;1;1;61925;1.6845;1.6845;61925;61925;0
"mscorlib.dll!System.Reflection::RuntimeFieldInfo.GetCustomAttributes()";1.6507;1.6507;1.6507;61925;61925;61925;43;52;1.65070033073425;1.6507;1.6507;1.6507;160;160;160;160;1;61925;0.009;0.0173;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreatePrimitiveContract()";1.5948;1.5948;1.5948;61925;61925;61925;35;35;1.59479999542236;1.5948;1.5948;1.5948;1;1;1;1;1;61925;1.5948;1.5948;61925;61925;0
"Loading.AwakeFromLoad";1.5472;1.5472;1.5472;62046;62046;62046;7;8;1.5472000837326;1.5472;1.5472;1.5472;154;154;154;154;1;62046;0;0.1985;62046;62046;0
"mscorlib.dll!System::MonoCustomAttrs.IsDefined()";1.462497;1.462497;1.462497;61925;61925;61925;38;43;1.46249687671661;1.462497;1.462497;1.462497;530;530;530;530;1;61925;0.0018;0.0101;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.SerializePrimitive()";1.4453;1.4453;1.4453;61925;61925;61925;29;35;1.44530022144318;1.4453;1.4453;1.4453;53;53;53;53;1;61925;0.0014;1.2486;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json::JsonWriter.WriteValue()";1.4192;1.4192;1.4192;61925;61925;61925;30;36;1.41919994354248;1.4192;1.4192;1.4192;53;53;53;53;1;61925;0.0011;1.2473;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.IsValidCallback()";1.412403;1.412403;1.412403;61925;61925;61925;39;39;1.41240286827087;1.412403;1.412403;1.412403;485;485;485;485;1;61925;0.002;0.0076;61925;61925;0
"Assembly-CSharp.dll!::EnemySpawner.SpawnSplitChildren()";1.402;1.402;1.5286;60524;60524;60429;11;11;2.93059992790222;1.4653;1.402;1.402;2;1;1;1;2;60429;1.402;1.5286;60524;60429;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.GetSerializableMembers()";1.3901;1.3901;1.3901;61925;61925;61925;36;39;1.39010000228882;1.3901;1.3901;1.3901;2;2;2;2;1;61925;0.3629;1.0272;61925;61925;0
"System.Core.dll!System.Linq::Enumerable.ToList()";1.3667;1.3667;1.3667;61925;61925;61925;36;40;1.36669993400574;1.3667;1.3667;1.3667;4;4;4;4;1;61925;0.0185;0.9683;61925;61925;0
"UnityEngine.UI.dll!UnityEngine.UI::Image.OnCanvasHierarchyChanged()";1.3434;1.3434;1.3434;62046;62046;62046;9;12;1.3433997631073;1.3434;1.3434;1.3434;122;122;122;122;1;62046;0.0048;0.029;62046;62046;0
"mscorlib.dll!System.Reflection::RuntimeMethodInfo.IsDefined()";1.340402;1.340402;1.340402;61925;61925;61925;40;40;1.34040200710297;1.340402;1.340402;1.340402;485;485;485;485;1;61925;0.0019;0.0073;61925;61925;0
"mscorlib.dll!System::String.IndexOfCharArray()";1.3315;1.3315;1.3315;61925;61925;61925;23;36;1.33150005340576;1.3315;1.3315;1.3315;91;91;91;91;1;61925;0.0096;0.0308;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json::JsonTextWriter.WriteValue()";1.3302;1.3302;1.3302;61925;61925;61925;31;37;1.33019983768463;1.3302;1.3302;1.3302;53;53;53;53;1;61925;0.0009;1.1736;61925;61925;0
"mscorlib.dll!::Kernel32.GetFileAttributesEx()";1.2997;1.2997;1.2997;61925;61925;61925;25;33;1.29970002174377;1.2997;1.2997;1.2997;18;18;18;18;1;61925;0.0378;0.1357;61925;61925;0
"mscorlib.dll!::Kernel32.GetFileAttributesExPrivate()";1.2849;1.2849;1.2849;61925;61925;61925;26;34;1.28489995002747;1.2849;1.2849;1.2849;18;18;18;18;1;61925;0.037;0.1345;61925;61925;0
"mscorlib.dll!System::MonoCustomAttrs.GetCustomAttributesBase()";1.284899;1.284899;1.284899;61925;61925;61925;40;54;1.28489911556244;1.284899;1.284899;1.284899;299;299;299;299;1;61925;0.0012;0.1412;61925;61925;0
"mscorlib.dll!System::Array.CreateInstance()";1.2757;1.2757;1.2757;61925;61925;61925;40;55;1.27569997310638;1.2757;1.2757;1.2757;516;516;516;516;1;61925;0.0017;0.0079;61925;61925;0
