Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"UnityEngine.UI.dll!UnityEngine.EventSystems::EventSystem.OnDisable() [Invoke]";0.0396;0.0396;0.0396;79669;79669;79669;13;13;0.0395999997854233;0.0396;0.0396;0.0396;1;1;1;1;1;79669;0.0396;0.0396;79669;79669;0
"TMP GenerateText - Phase II";0.0371;0.014;0.2594;79125;79238;79126;8;10;8.50039994437248;0.0393537;0.026;0.0436;897;5;1;10;216;79030;0.004;0.1445;79170;79126;0
"UnityBuildPostprocessor.OnProcessScene";0.0369;0.0369;0.0369;79669;79669;79669;10;10;0.0368999987840652;0.0369;0.0369;0.0369;1;1;1;1;1;79669;0.0369;0.0369;79669;79669;0
"TMP.SetArraySizes";0.0358;0.0134;0.2677;79086;79237;79669;8;10;8.38480004761368;0.03881852;0.0255;0.0424;898;5;1;10;216;79030;0.0037;0.0772;79061;79669;0
"SceneCulling";0.0356;0.0207;0.5146;80479;80392;79238;5;5;86.047899575904;0.04302395;0.0274;0.0527;2001;1;1;2;2000;79030;0.0207;0.5146;80392;79238;0.0637
"UnityEngine.Physics2DModule.dll!UnityEngine.LowLevelPhysics2D::PhysicsWorldRenderer.InitializeRendering() [Invoke]";0.0353;0.0353;0.0353;79669;79669;79669;11;11;0.035300001502037;0.0353;0.0353;0.0353;1;1;1;1;1;79669;0.0353;0.0353;79669;79669;0
"TimelineAnalyticsProcess.OnProcessScene";0.0348;0.0348;0.0348;79669;79669;79669;10;10;0.0348000004887581;0.0348;0.0348;0.0348;1;1;1;1;1;79669;0.0348;0.0348;79669;79669;0
"Unity.2D.Animation.Runtime.dll!UnityEngine.U2D.Animation::DeformationManagerUpdater.LateUpdate() [Invoke]";0.0348;0.0286;0.2113;80825;79429;80059;5;5;78.488199647516;0.0392441;0.0329;0.039;2000;1;1;1;2000;79030;0.0286;0.2113;79429;80059;0.0348
"StaticBatching.Combine";0.0335;0.0335;0.0335;79669;79669;79669;11;11;0.033500000834465;0.0335;0.0335;0.0335;1;1;1;1;1;79669;0.0335;0.0335;79669;79669;0
"Assembly-CSharp.dll!::PanelPlayerTMP.Update() [Invoke]";0.0333;0.0169;0.1745;79652;79650;79405;5;5;23.6803998686373;0.03705853;0.0302;0.0382;639;1;1;1;639;79030;0.0169;0.1745;79650;79405;0
"LowLevelPhysics2D.PhysicsWorld.Create";0.0331;0.0331;0.0331;79669;79669;79669;11;11;0.033100001513958;0.0331;0.0331;0.0331;1;1;1;1;1;79669;0.0331;0.0331;79669;79669;0
"DeformationManager.LateUpdate";0.0325;0.0268;0.2012;79289;79429;80059;6;6;73.1953995861113;0.0365977;0.0307;0.0363;2000;1;1;1;2000;79030;0.0268;0.2012;79429;80059;0.0328
